id;sc_id;name;description;type_of_strategy;underlying_id;underling_type;s_position_type;status;atm_type;expiry;strategy_tag;admin_id;expiry_type;category;min_capital;user_id;multiplier;stop_loss;target;execution_type;re_signal_count;created_by;created_at;updated_by;updated_at;delete_indicator;draw_down;strategy_source_id
1;4;Buy OTM Call;Focuses on bullish trade execution in high volatility;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;popular;600000000;1;1;400;700;LiveTrading;1;QuantLab;2024-06-25T10:00:00Z;QuantLab;2024-07-10T12:00:00Z;N;10;0
2;4;Buy OTM Put;Focuses on bearish trade execution in high volatility;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;600;900;LiveTrading;1;QuantLab;2024-06-18T11:20:00Z;QuantLab;2024-07-01T13:40:00Z;N;10;0
3;3;Protective Put;Refers to buying futures and puts for protection;diy;1;NA;Intraday;inactive;SyntheticAtm;CurrentMonth;diy;1;CurrentWeek;prebuilt;600000000;1;1;1000;1300;LiveTrading;1;QuantLab;2024-06-12T14:50:00Z;QuantLab;2024-06-20T16:30:00Z;N;10;0
4;4;Call Backspread;A strategy designed to capitalize on bullish moves with minimal risk;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;500;800;LiveTrading;1;QuantLab;2024-06-26T10:30:00Z;QuantLab;2024-07-12T13:00:00Z;N;10;0
5;4;Put Backspread;A strategy designed to benefit from bearish moves with limited risk;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;600;900;LiveTrading;1;QuantLab;2024-06-28T11:00:00Z;QuantLab;2024-07-14T14:30:00Z;N;10;0
6;3;Bull Call spread;A strategy used to capitalize on moderate bullish price movement with limited risk;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;prebuilt;600000000;1;1;450;750;LiveTrading;1;QuantLab;2024-07-01T09:00:00Z;QuantLab;2024-07-08T12:00:00Z;N;10;0
7;4;Protective Call;A strategy designed to protect against downside risk while allowing for upside profit potential;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextMonth;popular;600000000;1;1;550;950;LiveTrading;1;QuantLab;2024-07-02T10:00:00Z;QuantLab;2024-07-09T11:30:00Z;N;10;0
8;4;Bear Put Spread;A strategy used to capitalize on bearish price movement with limited risk;diy;1;NA;Intraday;active;SyntheticAtm;CurrentMonth;diy;1;CurrentMonth;popular;600000000;1;1;600;1000;LiveTrading;1;QuantLab;2024-07-03T10:30:00Z;QuantLab;2024-07-10T12:00:00Z;N;10;0
9;3;Covered Put;A strategy used to sell a put option while holding an equivalent amount of the underlying asset as protection;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextMonth;prebuilt;600000000;1;1;650;1100;LiveTrading;1;QuantLab;2024-07-04T11:00:00Z;QuantLab;2024-07-11T13:30:00Z;N;10;0
10;4;Covered Call;"A strategy where a call option is sold while holding the underlying asset; providing income in exchange for potential upside loss";diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;popular;600000000;1;1;700;1200;LiveTrading;1;QuantLab;2024-07-05T09:30:00Z;QuantLab;2024-07-12T10:00:00Z;N;10;0
